seq,benchmark,label,conf,imgsz,nms_max_overlap,min_confidence,HOTA
TUD-Campus,MOT15,conf015,0.15,1280,1.0,0.0,32.453
TUD-Campus,MOT15,conf025,0.25,1280,1.0,0.0,35.034
TUD-Campus,MOT15,conf035,0.35,1280,1.0,0.0,35.864
TUD-Campus,MOT15,conf045,0.45,1280,1.0,0.0,46.302
TUD-Campus,MOT15,restored_gate,0.25,1280,0.7,0.3,39.187
TUD-Campus,MOT15,imgsz960,0.25,960,1.0,0.0,39.646
TUD-Campus,MOT15,imgsz1536,0.25,1536,1.0,0.0,29.749
TUD-Stadtmitte,MOT15,conf015,0.15,1280,1.0,0.0,56.318
TUD-Stadtmitte,MOT15,conf025,0.25,1280,1.0,0.0,58.215
TUD-Stadtmitte,MOT15,conf035,0.35,1280,1.0,0.0,58.553
TUD-Stadtmitte,MOT15,conf045,0.45,1280,1.0,0.0,59.369
TUD-Stadtmitte,MOT15,restored_gate,0.25,1280,0.7,0.3,59.488
KITTI-17,MOT15,conf015,0.15,1280,1.0,0.0,42.252
KITTI-17,MOT15,conf025,0.25,1280,1.0,0.0,45.787
KITTI-17,MOT15,conf035,0.35,1280,1.0,0.0,48.621
KITTI-17,MOT15,conf045,0.45,1280,1.0,0.0,51.526
KITTI-17,MOT15,restored_gate,0.25,1280,0.7,0.3,46.773
KITTI-17,MOT15,imgsz960,0.25,960,1.0,0.0,44.845
KITTI-17,MOT15,imgsz1536,0.25,1536,1.0,0.0,47.343
PETS09-S2L1,MOT15,conf015,0.15,1280,1.0,0.0,57.953
PETS09-S2L1,MOT15,conf025,0.25,1280,1.0,0.0,60.082
PETS09-S2L1,MOT15,conf035,0.35,1280,1.0,0.0,59.997
PETS09-S2L1,MOT15,conf045,0.45,1280,1.0,0.0,59.624
PETS09-S2L1,MOT15,restored_gate,0.25,1280,0.7,0.3,61.382
MOT16-09,MOT16,conf015,0.15,1280,1.0,0.0,44.535
MOT16-09,MOT16,conf025,0.25,1280,1.0,0.0,48.049
MOT16-09,MOT16,conf035,0.35,1280,1.0,0.0,48.104
MOT16-09,MOT16,conf045,0.45,1280,1.0,0.0,49.858
MOT16-09,MOT16,restored_gate,0.25,1280,0.7,0.3,47.264
MOT16-11,MOT16,conf015,0.15,1280,1.0,0.0,44.808
MOT16-11,MOT16,conf025,0.25,1280,1.0,0.0,48.442
MOT16-11,MOT16,conf035,0.35,1280,1.0,0.0,50.36
MOT16-11,MOT16,conf045,0.45,1280,1.0,0.0,51.086
MOT16-11,MOT16,restored_gate,0.25,1280,0.7,0.3,49.53
