component,detector,seq,iou,tp,fp,fn,precision,recall,f1,tracker,benchmark,HOTA,reid,mode,sequence,n_frames,fps,det_fps,reid_fps,track_fps,det_ms,reid_ms,track_ms,MOTA,IDF1,DetA,AssA,realtime_5fps,fmi,n_pred,n_true,silhouette,calinski_harabasz
hota,,TUD-Campus,,,,,,,,baseline,MOT15,39.86,,,,,,,,,,,,,,,,,,,,,
hota,,TUD-Stadtmitte,,,,,,,,baseline,MOT15,36.75,,,,,,,,,,,,,,,,,,,,,
hota,,KITTI-17,,,,,,,,baseline,MOT15,43.41,,,,,,,,,,,,,,,,,,,,,
hota,,PETS09-S2L1,,,,,,,,baseline,MOT15,44.84,,,,,,,,,,,,,,,,,,,,,
hota,,MOT16-09,,,,,,,,baseline,MOT16,36.24,,,,,,,,,,,,,,,,,,,,,
hota,,MOT16-11,,,,,,,,baseline,MOT16,39.95,,,,,,,,,,,,,,,,,,,,,
hota,,TUD-Campus,,,,,,,,yolo__osnet,MOT15,46.98,,,,,,,,,,,,,,,,,,,,,
hota,,TUD-Stadtmitte,,,,,,,,yolo__osnet,MOT15,59.62,,,,,,,,,,,,,,,,,,,,,
hota,,KITTI-17,,,,,,,,yolo__osnet,MOT15,48.75,,,,,,,,,,,,,,,,,,,,,
hota,,PETS09-S2L1,,,,,,,,yolo__osnet,MOT15,60.28,,,,,,,,,,,,,,,,,,,,,
hota,,MOT16-09,,,,,,,,yolo__osnet,MOT16,48.57,,,,,,,,,,,,,,,,,,,,,
hota,,MOT16-11,,,,,,,,yolo__osnet,MOT16,51.07,,,,,,,,,,,,,,,,,,,,,
hota,,TUD-Campus,,,,,,,,yolo__timm_mobilenet,MOT15,37.57,,,,,,,,,,,,,,,,,,,,,
hota,,TUD-Stadtmitte,,,,,,,,yolo__timm_mobilenet,MOT15,57.63,,,,,,,,,,,,,,,,,,,,,
hota,,KITTI-17,,,,,,,,yolo__timm_mobilenet,MOT15,45.82,,,,,,,,,,,,,,,,,,,,,
